name,price,review_rating
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,£19.73,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,1
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,1
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,3
Join,£35.67,5
In the Country We Love: My Family Divided,£22.00,4
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,2
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,2
"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,1
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,3
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,4
Obsidian (Lux #1),£14.86,2
My Paris Kitchen: Recipes and Stories,£33.37,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,2
Burning,£28.81,3
Masks and Shadows,£56.40,2
Camp Midnight,£17.08,4
Crown of Midnight (Throne of Glass #2),£43.29,3
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,5
Danganronpa Volume 1,£51.99,4
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,4
Bossypants,£49.46,2
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,5
Libertarianism for Beginners,£51.33,2
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,2
The Vacationers,£42.15,4
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,2
The Wedding Dress,£24.12,1
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,5
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,1
Thirteen Reasons Why,£52.72,1
The White Cat and the Monk: A Retelling of the Poem “Pangur Bán”,£58.08,4
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,1
,,
Tracing Numbers on a Train,£41.60,3
Tuesday Nights in 1980,£21.04,2
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,4
A Flight of Arrows (The Pathfinders #2),£55.53,5
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,5
A Murder in Time,£16.64,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,5
A Fierce and Subtle Poison,£28.13,4
Throne of Glass (Throne of Glass #1),£35.07,3
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,3
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,2
Her Backup Boyfriend (The Sorensen Family #1),£33.97,1
First and First (Five Boroughs #3),£15.97,4
Fifty Shades Darker (Fifty Shades #2),£21.96,1
I am a Hero Omnibus Volume 1,£54.63,3
On a Midnight Clear,£14.07,3
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,5
Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,1
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,2
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,1
Patience,£10.16,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,4
Princess Between Worlds (Wide-Awake Princess #5),£13.34,5
"Pop Gun War, Volume 1: Gift",£18.97,1
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,1
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,5
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",£23.89,4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,£42.96,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,3
The Murder That Never Was (Forensic Instincts #5),£54.11,3
The Nameless City (The Nameless City #1),£38.16,4
Slow States of Collapse: Poems,£57.31,3
Reasons to Stay Alive,£26.41,2
Private Paris (Private #10),£47.61,5
The Stranger,£17.44,4
Chase Me (Paris Nights #2),£25.27,5
How to Be Miserable: 40 Strategies You Already Use,£46.03,1
Black Dust,£34.53,5
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",£30.52,3
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",£36.28,2
How Music Works,£37.32,2
In Her Wake,£12.84,1
Security,£39.25,2
A World of Flavor: Your Gluten Free Passport,£42.95,1
